POTUS, President Trump
JohnKasich, John Kasich
MittRomney, Mitt Romney
LarryHogan, Larry Hogan
GovBillWeld, Gov. Bill Weld
SenBobCorker, Senator Bob Corker
CarlyFiorina, Carly Fiorina
SenSasse, Senator Ben Sasse
Gov_Martinez, Susana Martinez
SenTedCruz, Senator Ted Cruz
HillaryClinton, Hillary Clinton
BernieSanders, Bernie Sanders
JoeBiden, Joe Biden
PeteButtigieg, Pete Buttigieg
ewarren, Elizabeth Warren
KamalaHarris, Kamala Harris
JayInslee, Jay Inslee
BarackObama, Barack Obama
amyklobuchar, Amy Klobuchar
CoryBooker, Cory Booker
